"Activities","Department","Employee Name","First Contract Date","Job Position","Manager","Nationality (Country)","Next Activity Deadline","Responsible User","Tags","Time Off","Work Email","Work Location","Work Phone"
"","Professional Services","Abigail Peterson","","Consultant","","","","","","","abigail.peterson39@example.com","Building 1, Second Floor","(482)-233-3393"
"","Research & Development / R&D USA","Anita Oliver","2023-03-01","Experienced Developer","Ronnie Hart","","","","Employee","Mitchell Admin","anita.oliver32@example.com","Building 1, Second Floor","(538)-497-4804"
"","Professional Services","Audrey Peterson","2014-01-01","Consultant","Mitchell Admin","","","","Employee","Mitchell Admin","audrey.peterson25@example.com","Building 1, Second Floor","(203)-276-7903"
"","","","","","","","","","Consultant","","","",""
"","Research & Development","Beth Evans","","Experienced Developer","","","","","","","beth.evans77@example.com","Building 1, Second Floor","(754)-532-3841"
"","Professional Services","Doris Cole","","Consultant","","","","","","","doris.cole31@example.com","Building 1, Second Floor","(883)-331-5378"
"","Sales","Eli Lambert","","Marketing and Community Manager","","","","","","","eli.lambert22@example.com","Building 1, Second Floor","(644)-169-1352"
"","Professional Services","Ernest Reed","","Consultant","","","","","","","ernest.reed47@example.com","Building 1, Second Floor","(944)-518-8232"
"","Sales","Jeffrey Kelly","","Marketing and Community Manager","Mitchell Admin","","","","Sales","Mitchell Admin","jeffrey.kelly72@example.com","Building 1, Second Floor","(916)-264-7362"
"","","","","","","","","","Employee","","","",""
"","Research & Development","Jennie Fletcher","","Experienced Developer","Ronnie Hart","","","","Employee","","jennie.fletcher76@example.com","Building 1, Second Floor","(157)-363-8229"
"","Research & Development","Keith Byrd","2015-01-01","Experienced Developer","Ronnie Hart","","","","Employee","","keith.byrd52@example.com","Building 1, Second Floor","(449)-505-5146"
"","Research & Development","Marc Demo","2022-09-04","Experienced Developer","Mitchell Admin","","","","Employee","Mitchell Admin","mark.brown23@example.com","Building 1, Second Floor","'+3281813700"
"","Management","Mitchell Admin","2023-01-01","Chief Executive Officer","","","","","Trainer","","admin@yourcompany.example.com","Building 1, Second Floor","(237)-125-2389"
"","","","","","","","","","Employee","","","",""
"","Research & Development / R&D USA / Long Term Projects","Paul Williams","","Experienced Developer","","","","","","Mitchell Admin","paul.williams59@example.com","Building 1, Second Floor","(114)-262-1607"
"","Sales","Rachel Perry","","Marketing and Community Manager","","","","","","","jod@odoo.com","Building 1, Second Floor","(206)-267-3735"
"","Research & Development","Randall Lewis","2023-02-01","Experienced Developer","Ronnie Hart","","","","Employee","","randall.lewis74@example.com","Building 1, Second Floor","(332)-775-6660"
"","","Roger Scott","2023-10-01","","","","","","","","","Building 1, Second Floor","'+3282823500"
"","Research & Development","Ronnie Hart","2023-01-01","Chief Technical Officer","","","","","Trainer","Mitchell Admin","ronnie.hart87@example.com","Building 1, Second Floor","(376)-310-7863"
"","","","","","","","","","Employee","","","",""
"","Management","Sharlene Rhodes","2023-10-01","Experienced Developer","Ronnie Hart","","","","Employee","Mitchell Admin","sharlene.rhodes49@example.com","Building 1, Second Floor","(450)-719-4182"
"","Administration","Tina Williamson","2015-01-01","Human Resources Manager","Mitchell Admin","","","","Employee","Mitchell Admin","tina.williamson98@example.com","Building 1, Second Floor","(360)-694-7266"
"","Professional Services","Toni Jimenez","2023-10-01","Consultant","Mitchell Admin","","","","Employee","Mitchell Admin","toni.jimenez23@example.com","Building 1, Second Floor","(663)-707-8451"
"","","","","","","","","","Consultant","","","",""
"","Research & Development","Walter Horton","2023-03-01","Experienced Developer","","","","","","","walter.horton80@example.com","Building 1, Second Floor","(350)-912-1201"
